artist,sale_year,sale_location,sale_price_adj,low_est_adj,high_est_adj,performance
Daniel Richter,2007,London,952217.5798825129,503285.80153080414,754929.3188066093,1.8920016757224403
Kai Althoff,2007,London,362366.31963133375,377464.6594033046,503285.80153080414,0.9600006532917854
Jake and Dinos Chapman,2007,London,483154.2708279075,503285.80153080414,754929.3188066093,0.9599998039855998
Damien Hirst,2007,London,0.0,1006572.8360824145,1509859.8706340247,0.0
Ugo Rondinone,2007,London,150985.86376132187,100656.42049367711,150985.86376132187,1.5000122496488553
Marlene Dumas,2007,London,573746.7755013455,629108.1766791099,880751.693954915,0.912000188140739
Paul McCarthy,2007,London,72473.26392626674,50328.21024683856,75492.93188066094,1.4400127395036688
Paul Noble,2007,London,150985.86376132187,75492.93188066094,100656.42049367711,1.9999999997350744
Cecily Brown,2007,London,1177690.230546633,754929.3188066093,1006572.8360824145,1.5600006532965542
Albert Oehlen,2007,London,362366.31963133375,377464.6594033046,503285.80153080414,0.9600006532917854
Martin Kippenberger,2007,London,1600451.142286657,503285.80153080414,754929.3188066093,3.1800045568281337
Franz West,2007,London,256675.4751859247,100656.42049367711,150985.86376132187,2.5500159244839034
Sarah Lucas,2007,London,114748.6152877854,62909.954553346644,88074.67618716903,1.8240136411518189
Sarah Lucas,2007,London,54354.023179095406,37746.46594033047,50328.21024683856,1.439976480198659
Rudolf Stingel,2007,London,839481.2545504529,176149.35237433805,226478.7956419828,4.765735685015744
Jeff Koons,2007,London,1290426.555878693,880751.693954915,1132395.2112307204,1.4651422923406805
Richard Prince,2007,London,603943.4550452875,503285.80153080414,754929.3188066093,1.2000009799527842
Ron Arad,2007,London,301971.72752264375,176149.35237433805,226478.7956419828,1.7142937140283971
John Currin,2007,London,483154.2708279075,314553.4718291518,440375.8469774575,1.5360004389809132
Jeff Koons,2007,London,0.0,201314.07400816045,301971.72752264375,0.0
Ugo Rondinone,2007,London,241577.13541395374,150985.86376132187,201314.07400816045,1.5999983666009845
Gavin Turk,2007,London,196280.88307723473,125821.1421274995,176149.35237433805,1.5599992158927918
Steven Parrino,2007,London,573746.7755013455,377464.6594033046,503285.80153080414,1.5200013065941675
